dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,70+,BN,M1_lpm,0.26633963390471366,0.020884912109413987,0.2306373520384891,0.30695763816665333,0.044931066522689,0.5202832676226112,False,0.0
age,70+,BN,M2_logit,0.26505920410780454,0.021794681425973895,0.22743927107135803,0.30748731141450186,0.044931066522689,0.5202832676226112,False,0.0
age,70+,BN,M3_probit,0.26505829326978425,,,,0.044931066522689,0.5202832676226112,False,0.0
age,70+,BN,M2ml_logit_noprior,0.2650578105285863,,,,0.044931066522689,0.5202832676226112,False,0.0
age,70+,BN,M4_context,0.22822342858316597,,,,0.044931066522689,0.5202832676226112,False,0.0
age,70+,BN,M5_within_seat,0.25445790568779075,0.019581110154212822,0.21897287478839808,0.2932193554417915,0.044931066522689,0.5202832676226112,False,0.0
age,18-29,PH,M1_lpm,0.30380578973258654,0.019123238527888917,0.262211755427275,0.33459200180093873,0.2187998978540941,0.3845947697928739,False,0.0
age,18-29,PH,M2_logit,0.30320795950210555,0.019178656794560985,0.2618154447347948,0.3342011523543125,0.2187998978540941,0.3845947697928739,False,0.0
age,18-29,PH,M3_probit,0.3032078738244129,,,,0.2187998978540941,0.3845947697928739,False,0.0
age,18-29,PH,M2ml_logit_noprior,0.3032078147135378,,,,0.2187998978540941,0.3845947697928739,False,0.0
age,18-29,PH,M4_context,0.12134906933274761,,,,0.2187998978540941,0.3845947697928739,True,0.09745082852134648
age,18-29,PH,M5_within_seat,0.3007788694855528,0.01925273414642453,0.25981659609994817,0.3311771427654867,0.2187998978540941,0.3845947697928739,False,0.0
age,30-39,PH,M1_lpm,0.2569803604007965,0.020093480347984465,0.21718492599356504,0.2913738467904691,0.1186429709100191,0.4666603148807962,False,0.0
age,30-39,PH,M2_logit,0.259139368275445,0.019923651300135264,0.2199788211155084,0.29321700510806353,0.1186429709100191,0.4666603148807962,False,0.0
age,30-39,PH,M3_probit,0.25913912072158907,,,,0.1186429709100191,0.4666603148807962,False,0.0
age,30-39,PH,M2ml_logit_noprior,0.25913899271111257,,,,0.1186429709100191,0.4666603148807962,False,0.0
age,30-39,PH,M4_context,0.3552113449240308,,,,0.1186429709100191,0.4666603148807962,False,0.0
age,30-39,PH,M5_within_seat,0.2631595464285406,0.0197045147875847,0.22339852873835078,0.29555452878239663,0.1186429709100191,0.4666603148807962,False,0.0
age,40-49,PH,M1_lpm,0.34335790193476634,0.0247292385808583,0.29145130872746816,0.3831547446258783,0.1459817473843213,0.5479114837378466,False,0.0
age,40-49,PH,M2_logit,0.3424139893158546,0.0245250027581374,0.29066330983908806,0.3819291945428202,0.1459817473843213,0.5479114837378466,False,0.0
age,40-49,PH,M3_probit,0.3424139090240299,,,,0.1459817473843213,0.5479114837378466,False,0.0
age,40-49,PH,M2ml_logit_noprior,0.3424138248430831,,,,0.1459817473843213,0.5479114837378466,False,0.0
age,40-49,PH,M4_context,0.3458320149092767,,,,0.1459817473843213,0.5479114837378466,False,0.0
age,40-49,PH,M5_within_seat,0.3416742269860158,0.02382721347698361,0.29140117996962717,0.3799830331624763,0.1459817473843213,0.5479114837378466,False,0.0
age,50-59,PH,M1_lpm,0.37719569803021,0.02065589355069367,0.3341620518264778,0.4127116585616903,0.1639047795760605,0.5955640809201121,False,0.0
age,50-59,PH,M2_logit,0.3761692777955558,0.020716467443464885,0.3338168883700419,0.41172456679702074,0.1639047795760605,0.5955640809201121,False,0.0
age,50-59,PH,M3_probit,0.37616913930472484,,,,0.1639047795760605,0.5955640809201121,False,0.0
age,50-59,PH,M2ml_logit_noprior,0.3761690532573127,,,,0.1639047795760605,0.5955640809201121,False,0.0
age,50-59,PH,M4_context,0.3779024724507497,,,,0.1639047795760605,0.5955640809201121,False,0.0
age,50-59,PH,M5_within_seat,0.37295784807362475,0.020662486064398116,0.3324412483741049,0.4099047869120841,0.1639047795760605,0.5955640809201121,False,0.0
age,60-69,PH,M1_lpm,0.3767219585548102,0.021047981556161718,0.331715885898409,0.41219004036355605,0.1388454657411949,0.599346476726173,False,0.0
age,60-69,PH,M2_logit,0.37262080570628403,0.021363606550388648,0.32674150678169706,0.4085712499764341,0.1388454657411949,0.599346476726173,False,0.0
age,60-69,PH,M3_probit,0.37262088561189133,,,,0.1388454657411949,0.599346476726173,False,0.0
age,60-69,PH,M2ml_logit_noprior,0.3726209743581665,,,,0.1388454657411949,0.599346476726173,False,0.0
age,60-69,PH,M4_context,0.36063056923398307,,,,0.1388454657411949,0.599346476726173,False,0.0
age,60-69,PH,M5_within_seat,0.3675456501607672,0.022979414308766776,0.32050561984445514,0.4074587120503551,0.1388454657411949,0.599346476726173,False,0.0
age,70+,PH,M1_lpm,0.23643774728866324,0.017739288074346406,0.201498514363455,0.26942926570282744,0.0915195499861881,0.5171944451420105,False,0.0
age,70+,PH,M2_logit,0.24426440668199964,0.016817916511704566,0.2107230641691369,0.27371549508796267,0.0915195499861881,0.5171944451420105,False,0.0
age,70+,PH,M3_probit,0.24426338672871206,,,,0.0915195499861881,0.5171944451420105,False,0.0
age,70+,PH,M2ml_logit_noprior,0.24426277809354877,,,,0.0915195499861881,0.5171944451420105,False,0.0
age,70+,PH,M4_context,0.2522141260184147,,,,0.0915195499861881,0.5171944451420105,False,0.0
age,70+,PH,M5_within_seat,0.25618059050837005,0.016143764480230017,0.22376951792200597,0.2872742094861424,0.0915195499861881,0.5171944451420105,False,0.0
age,18-29,PN,M1_lpm,0.25516469136805536,0.01519602609482281,0.22799577418240224,0.28497275214309836,0.1705934845504317,0.3371249856181932,False,0.0
age,18-29,PN,M2_logit,0.25545998688209487,0.015177126791201291,0.22822042445254503,0.2852500109957817,0.1705934845504317,0.3371249856181932,False,0.0
age,18-29,PN,M3_probit,0.25545997298859274,,,,0.1705934845504317,0.3371249856181932,False,0.0
