election,group,estimand,miss,n_pure,thr
ge15,70+,BN,0.020934562763508358,19,0.95
ge15,70+,PH,0.0,19,0.95
ge15,70+,PN,0.0011809948057956605,19,0.95
ge15,70+,BN_v,0.025274812810714004,19,0.95
ge15,70+,PH_v,0.003933404210431757,19,0.95
ge15,70+,PN_v,0.00027385500184974945,19,0.95
jhr_se16,Malay,turnout,0.024635763801858945,688,0.95
jhr_se16,Malay,BN,0.008527520596776417,688,0.95
jhr_se16,Malay,PH,0.003876371481670013,688,0.95
jhr_se16,Malay,PN,0.005714548188897203,688,0.95
jhr_se16,Malay,BN_v,0.0,688,0.95
jhr_se16,Malay,PH_v,0.006791906734844033,688,0.95
jhr_se16,Malay,PN_v,0.002452010614041142,688,0.95
jhr_se16,Chinese,turnout,0.019883923179697893,65,0.95
jhr_se16,Chinese,BN,0.0,65,0.95
jhr_se16,Chinese,PH,0.0,65,0.95
jhr_se16,Chinese,PN,0.0,65,0.95
jhr_se16,Chinese,BN_v,0.0,65,0.95
jhr_se16,Chinese,PH_v,0.0,65,0.95
jhr_se16,Chinese,PN_v,0.0,65,0.95
jhr_se16,18-29,turnout,0.007949441019240111,536,0.95
jhr_se16,18-29,BN,0.007726436207441678,536,0.95
jhr_se16,18-29,PH,0.0019533182360163825,536,0.95
jhr_se16,18-29,PN,0.00964744989613844,536,0.95
jhr_se16,18-29,BN_v,0.002293486787239396,536,0.95
jhr_se16,18-29,PH_v,0.006492182047523942,536,0.95
jhr_se16,18-29,PN_v,0.01397813899209268,536,0.95
jhr_se16,30-39,turnout,0.0,231,0.95
jhr_se16,30-39,BN,0.0022008747752472746,231,0.95
jhr_se16,30-39,PH,0.0026625676695880285,231,0.95
jhr_se16,30-39,PN,0.005754175063895667,231,0.95
jhr_se16,30-39,BN_v,0.0014586606857202034,231,0.95
jhr_se16,30-39,PH_v,0.0029414078941450428,231,0.95
jhr_se16,30-39,PN_v,0.008791489235423514,231,0.95
jhr_se16,40-49,turnout,0.008373775003832407,144,0.95
jhr_se16,40-49,BN,0.0,144,0.95
jhr_se16,40-49,PH,0.010863984880274735,144,0.95
jhr_se16,40-49,PN,0.011142519705959808,144,0.95
jhr_se16,40-49,BN_v,0.0,144,0.95
jhr_se16,40-49,PH_v,0.009389677508835736,144,0.95
jhr_se16,40-49,PN_v,0.017133118185163027,144,0.95
jhr_se16,50-59,turnout,0.00031176771255714275,89,0.95
jhr_se16,50-59,BN,0.01408739207448545,89,0.95
jhr_se16,50-59,PH,0.0065209765355950244,89,0.95
jhr_se16,50-59,PN,0.0014748634591903315,89,0.95
jhr_se16,50-59,BN_v,0.019496320739337547,89,0.95
jhr_se16,50-59,PH_v,0.005402399672458924,89,0.95
jhr_se16,50-59,PN_v,0.002038998405043381,89,0.95
jhr_se16,60-69,turnout,0.011445663890545243,74,0.95
jhr_se16,60-69,BN,0.022052817715583872,74,0.95
jhr_se16,60-69,PH,0.003562059553864072,74,0.95
jhr_se16,60-69,PN,0.009092929071244168,74,0.95
jhr_se16,60-69,BN_v,0.01970612844432651,74,0.95
jhr_se16,60-69,PH_v,0.012514323567156649,74,0.95
jhr_se16,60-69,PN_v,0.01120047388646575,74,0.95
jhr_se16,70+,turnout,0.0341815073673335,29,0.95
jhr_se16,70+,BN,0.021661953778511142,29,0.95
jhr_se16,70+,PH,0.052912600063622306,29,0.95
jhr_se16,70+,PN,0.0031113196952467443,29,0.95
jhr_se16,70+,BN_v,0.051948808428621734,29,0.95
jhr_se16,70+,PH_v,0.02888368895700022,29,0.95
jhr_se16,70+,PN_v,0.005915319427672881,29,0.95
jhr_se15,Malay,turnout,0.049293074386315694,390,0.98
jhr_se15,Malay,BN,0.07291274736817199,390,0.98
jhr_se15,Malay,PH,0.00918329288971018,390,0.98
jhr_se15,Malay,PN,0.008953316717463772,390,0.98
jhr_se15,Malay,BN_v,0.05956511770631823,390,0.98
jhr_se15,Malay,PH_v,0.01721706578238717,390,0.98
jhr_se15,Malay,PN_v,0.03971006675634309,390,0.98
jhr_se15,Chinese,turnout,0.06419926341954241,16,0.98
jhr_se15,Chinese,BN,0.003874451045096136,16,0.98
jhr_se15,Chinese,PH,0.00426038175209581,16,0.98
jhr_se15,Chinese,PN,0.0,16,0.98
jhr_se15,Chinese,BN_v,0.028389939681722487,16,0.98
jhr_se15,Chinese,PH_v,0.08972727820475879,16,0.98
jhr_se15,Chinese,PN_v,0.0,16,0.98
jhr_se15,18-29,turnout,0.0010674451788611483,542,0.98
jhr_se15,18-29,BN,0.01900317254029263,542,0.98
jhr_se15,18-29,PH,0.004912348144060552,542,0.98
jhr_se15,18-29,PN,0.001746799898277862,542,0.98
jhr_se15,18-29,BN_v,0.0366872623421477,542,0.98
jhr_se15,18-29,PH_v,0.010275192573519887,542,0.98
jhr_se15,18-29,PN_v,0.0027706348445779017,542,0.98
jhr_se15,30-39,turnout,0.003665660608061172,172,0.98
jhr_se15,30-39,BN,0.0010799096503472105,172,0.98
jhr_se15,30-39,PH,1.4313298611207115e-05,172,0.98
jhr_se15,30-39,PN,0.0,172,0.98
