dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,50-59,PH,M3_probit,0.19141861559425905,,,,0.0519061926874,0.3416500825951795,False,0.0
age,50-59,PH,M2ml_logit_noprior,0.19141841523881384,,,,0.0519061926874,0.3416500825951795,False,0.0
age,50-59,PH,M4_context,0.19628801071641655,,,,0.0519061926874,0.3416500825951795,False,0.0
age,50-59,PH,M5_within_seat,0.18997151605108145,0.01730112604631068,0.15205993836338746,0.22317357471618382,0.0519061926874,0.3416500825951795,False,0.0
age,60-69,PH,M1_lpm,0.2222145072058382,0.018812747680608255,0.18566725697853265,0.25611871929132646,0.0594759712901014,0.3677872990359291,False,0.0
age,60-69,PH,M2_logit,0.21520418210477613,0.01865566391580284,0.17843084515745752,0.2495194975737383,0.0594759712901014,0.3677872990359291,False,0.0
age,60-69,PH,M3_probit,0.2152041325604223,,,,0.0594759712901014,0.3677872990359291,False,0.0
age,60-69,PH,M2ml_logit_noprior,0.21520405915891297,,,,0.0594759712901014,0.3677872990359291,False,0.0
age,60-69,PH,M4_context,0.000712842378459142,,,,0.0594759712901014,0.3677872990359291,True,0.05876312891164225
age,60-69,PH,M5_within_seat,0.21386256500551126,0.01806426859178609,0.1777249228759652,0.24817322307132272,0.0594759712901014,0.3677872990359291,False,0.0
age,70+,PH,M1_lpm,0.12923646942947042,0.01245994637863621,0.10229152827287763,0.15161739834807447,0.0354210559302667,0.3025470183541527,False,0.0
age,70+,PH,M2_logit,0.13695391410821586,0.012154271179946859,0.1112095555408678,0.15796458632283036,0.0354210559302667,0.3025470183541527,False,0.0
age,70+,PH,M3_probit,0.13695236398462635,,,,0.0354210559302667,0.3025470183541527,False,0.0
age,70+,PH,M2ml_logit_noprior,0.13695164752731753,,,,0.0354210559302667,0.3025470183541527,False,0.0
age,70+,PH,M4_context,0.22591307192390103,,,,0.0354210559302667,0.3025470183541527,False,0.0
age,70+,PH,M5_within_seat,0.13683132120544675,0.012075656570102513,0.1104069247550185,0.1573372413032284,0.0354210559302667,0.3025470183541527,False,0.0
age,18-29,PN,M1_lpm,0.1418410493703524,0.008737072593724653,0.12697628361226876,0.16287590368356097,0.0822698362125932,0.2075382917964693,False,0.0
